Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,Cluster
1,1360,5,4,3,1970,Downtown,Excellent,No,149919,-1
2,4272,5,4,3,1958,Downtown,Excellent,No,424998,-1
3,3592,2,2,3,1938,Downtown,Good,No,266746,-1
4,966,4,2,2,1902,Suburban,Fair,Yes,244020,-1
5,4926,1,4,2,1975,Downtown,Fair,Yes,636056,-1
6,3944,1,2,1,1906,Urban,Poor,No,93262,-1
7,3671,1,1,2,1948,Rural,Poor,Yes,448722,-1
8,3419,2,4,1,1925,Suburban,Good,Yes,594893,-1
9,630,2,2,1,1932,Rural,Poor,Yes,652878,-1
10,2185,3,3,1,2000,Downtown,Poor,No,340375,-1
11,1269,1,4,2,1947,Suburban,Poor,Yes,653685,-1
12,2891,4,4,3,1978,Urban,Excellent,Yes,127123,-1
13,2933,4,3,2,1901,Downtown,Poor,No,849947,-1
14,1684,1,1,1,2004,Rural,Good,No,399355,-1
15,3885,1,3,1,1970,Urban,Fair,Yes,481838,-1
16,4617,1,4,2,1931,Downtown,Poor,No,853032,-1
17,3404,2,1,1,1903,Urban,Fair,Yes,208964,-1
18,974,2,2,1,1919,Downtown,Poor,Yes,905742,-1
19,1582,2,2,2,2013,Suburban,Good,No,989305,-1
20,3058,5,2,2,2016,Downtown,Excellent,No,218767,-1
21,2547,4,4,2,1935,Suburban,Good,Yes,996357,-1
22,3247,4,3,1,1931,Downtown,Excellent,No,709789,-1
23,1475,3,1,1,1927,Downtown,Poor,No,709966,-1
24,2306,2,2,3,1976,Rural,Poor,Yes,447694,-1
25,689,5,1,3,1900,Urban,Excellent,Yes,688668,-1
26,3234,5,4,2,1959,Urban,Good,Yes,527032,-1
27,3505,4,2,3,1955,Urban,Good,Yes,745494,-1
28,2399,2,4,1,1934,Downtown,Excellent,Yes,513179,-1
29,1767,3,3,3,2011,Downtown,Poor,Yes,948212,-1
30,2028,2,4,1,1929,Downtown,Excellent,No,206547,-1
31,3702,1,4,2,1953,Suburban,Poor,No,902609,-1
32,4056,2,3,2,1935,Suburban,Excellent,Yes,727090,-1
33,4390,1,1,1,2020,Rural,Poor,No,202185,-1
34,1146,1,3,3,1954,Downtown,Excellent,No,725371,-1
35,3388,3,3,2,1988,Urban,Fair,Yes,105746,-1
36,2935,4,4,2,1979,Urban,Poor,No,959507,-1
37,1100,2,1,3,1957,Rural,Good,No,748213,-1
38,2863,1,2,3,1982,Urban,Excellent,Yes,921627,-1
39,2561,2,3,1,1964,Rural,Good,No,873250,-1
40,741,4,1,3,1968,Downtown,Excellent,No,218393,-1
41,2541,4,3,3,1950,Urban,Good,Yes,333453,-1
42,3324,5,3,3,1921,Downtown,Good,No,986192,-1
43,3112,4,3,1,1987,Suburban,Excellent,No,340320,-1
44,1863,3,3,1,2006,Urban,Excellent,No,643167,-1
45,1978,1,4,2,2008,Suburban,Good,Yes,641880,-1
46,3056,5,1,1,2015,Urban,Good,Yes,396872,-1
47,1275,3,1,2,2000,Downtown,Good,No,270084,-1
48,4514,2,1,3,1952,Rural,Poor,No,976920,-1
49,534,1,3,2,1999,Downtown,Poor,Yes,771782,-1
50,3652,4,4,2,1935,Downtown,Fair,Yes,845016,-1
51,2455,1,3,3,1967,Downtown,Poor,No,698843,-1
52,2085,2,3,2,1935,Urban,Poor,Yes,405446,-1
53,4443,5,1,1,1951,Rural,Excellent,No,958840,-1
54,3573,5,3,1,1952,Suburban,Fair,No,593118,-1
55,1521,5,2,1,1981,Downtown,Fair,Yes,266897,-1
56,3961,4,3,1,1949,Urban,Poor,Yes,826522,-1
57,3113,3,2,2,1979,Suburban,Excellent,No,913498,-1
58,4343,3,3,2,1940,Downtown,Excellent,No,840023,-1
59,2000,1,4,3,1917,Suburban,Fair,Yes,143878,-1
60,661,4,4,2,1921,Downtown,Excellent,No,175407,-1
61,4797,5,1,2,1965,Suburban,Good,Yes,691157,-1
62,2481,5,3,2,1920,Suburban,Poor,Yes,307716,-1
63,1495,2,2,3,1999,Rural,Good,Yes,857827,-1
64,3842,2,2,1,1943,Rural,Fair,Yes,66738,-1
65,4298,5,3,2,2002,Downtown,Fair,Yes,183703,-1
66,1775,5,2,3,1946,Urban,Excellent,No,723265,-1
67,1516,4,4,3,1938,Rural,Excellent,Yes,593344,-1
68,837,3,2,3,1928,Suburban,Fair,Yes,815034,-1
69,1378,2,1,1,1953,Rural,Fair,Yes,560241,-1
70,1576,3,4,2,1989,Rural,Good,Yes,433800,-1
71,4493,4,4,3,1984,Downtown,Good,Yes,689604,-1
72,879,5,4,1,1916,Rural,Excellent,Yes,740807,-1
73,992,3,3,3,1979,Rural,Good,Yes,628706,-1
74,2562,5,3,3,1959,Suburban,Excellent,No,873622,-1
75,4384,5,4,3,1930,Rural,Excellent,No,76014,-1
76,564,1,3,3,2014,Suburban,Poor,No,778359,-1
77,3068,3,2,3,1972,Rural,Excellent,No,813277,-1
78,2527,3,3,1,1994,Rural,Good,Yes,231350,-1
79,3195,5,3,2,1977,Urban,Fair,No,961995,-1
80,1995,4,4,2,1948,Rural,Fair,Yes,838212,-1
81,891,1,1,2,2000,Suburban,Good,No,534859,-1
82,4974,5,1,2,1901,Suburban,Fair,No,764618,-1
83,4061,2,1,1,2015,Downtown,Excellent,Yes,540339,-1
84,2778,2,2,1,1947,Downtown,Fair,Yes,92192,-1
85,3599,1,3,1,2009,Urban,Good,No,941307,-1
86,700,4,1,3,1913,Suburban,Fair,No,411273,-1
87,3604,5,4,3,1958,Suburban,Excellent,No,93923,-1
88,2954,3,1,3,1996,Suburban,Excellent,No,663484,-1
89,4145,1,1,2,1998,Urban,Good,Yes,576683,-1
90,1304,4,3,3,1957,Suburban,Good,No,414593,-1
91,3231,3,3,2,2002,Downtown,Good,No,433891,-1
92,3273,2,3,3,1957,Urban,Poor,No,802744,-1
93,2070,2,2,2,2010,Downtown,Poor,No,458995,-1
94,3190,3,2,3,1950,Downtown,Excellent,No,645316,-1
95,4340,1,1,3,1983,Urban,Poor,Yes,997226,-1
96,1528,2,3,1,1901,Rural,Poor,Yes,450327,-1
97,1002,5,1,3,2014,Rural,Fair,Yes,816751,-1
98,4993,3,4,3,1940,Downtown,Poor,Yes,715344,-1
99,1370,3,4,1,1982,Rural,Fair,Yes,929608,-1
100,4988,2,3,2,2022,Suburban,Good,No,777688,-1
101,706,1,3,1,2000,Urban,Fair,Yes,305315,-1
102,1984,5,4,1,1981,Downtown,Fair,Yes,339068,-1
103,1363,1,3,2,1915,Suburban,Good,No,495919,-1
104,3290,4,2,3,1903,Rural,Good,Yes,344721,-1
105,1063,4,2,2,1911,Suburban,Excellent,Yes,188783,-1
106,4691,2,3,3,1928,Rural,Excellent,Yes,659836,-1
107,2257,2,4,3,1906,Downtown,Excellent,Yes,307288,-1
108,2178,2,1,2,1913,Suburban,Excellent,No,543085,-1
109,3742,4,3,1,2018,Urban,Fair,No,545187,-1
110,1559,1,3,2,1911,Downtown,Fair,Yes,699381,-1
111,2222,1,1,3,1998,Suburban,Excellent,No,285835,-1
112,3814,2,3,2,1904,Suburban,Poor,Yes,971600,-1
113,3657,5,1,2,1980,Rural,Excellent,No,902987,-1
114,3125,1,4,3,2021,Downtown,Poor,No,401992,-1
115,3229,4,2,1,2005,Downtown,Good,No,256084,-1
116,2097,3,4,2,1931,Downtown,Fair,No,844686,-1
117,3560,3,2,3,1973,Downtown,Fair,No,437554,-1
118,3193,3,1,3,1942,Rural,Poor,No,803315,-1
119,4127,5,2,2,1980,Urban,Excellent,No,520336,-1
120,1863,2,4,1,1968,Downtown,Fair,No,973469,-1
121,2481,4,2,2,1944,Rural,Poor,No,258072,-1
122,2163,5,1,1,2005,Urban,Good,No,298029,-1
123,2029,4,2,1,1908,Urban,Good,No,259047,-1
124,2538,4,3,1,1948,Rural,Fair,Yes,415169,-1
125,3802,2,4,1,1932,Downtown,Excellent,No,180509,-1
126,2737,3,3,2,1999,Urban,Poor,Yes,812072,-1
127,1806,2,1,3,1999,Downtown,Fair,No,345107,-1
128,4529,5,2,3,1917,Downtown,Good,Yes,577561,-1
129,3175,5,3,3,1908,Suburban,Excellent,Yes,589618,-1
130,1782,5,3,3,1961,Downtown,Poor,Yes,202566,-1
131,1209,2,2,3,1956,Suburban,Fair,No,650710,-1
132,4913,4,2,3,1928,Urban,Poor,No,958521,-1
133,4248,4,4,2,2013,Rural,Excellent,No,53212,-1
134,1163,1,3,1,1977,Suburban,Excellent,No,282131,-1
135,2498,5,3,3,1924,Rural,Good,Yes,526657,-1
136,3945,4,1,2,1914,Urban,Excellent,No,661882,-1
137,4243,1,4,3,1905,Downtown,Fair,No,182152,-1
138,1995,4,1,3,2019,Urban,Poor,No,344819,-1
139,3804,5,3,1,1941,Rural,Excellent,No,72007,-1
140,4263,3,1,1,1928,Urban,Excellent,No,688093,-1
141,2353,5,3,1,1978,Downtown,Fair,No,394785,-1
142,1791,2,3,3,1992,Urban,Poor,No,670103,-1
143,4081,4,1,3,1903,Downtown,Poor,No,883247,-1
144,3957,4,1,3,1981,Suburban,Good,Yes,919914,-1
145,2136,2,2,1,2013,Rural,Good,Yes,837071,-1
146,4196,2,2,2,1956,Downtown,Poor,No,375737,-1
147,3499,3,2,3,1948,Downtown,Fair,No,562164,-1
148,3652,4,3,3,1943,Urban,Fair,No,128038,-1
149,1198,4,1,3,2002,Suburban,Good,No,406043,-1
150,2660,3,4,2,1979,Downtown,Excellent,Yes,840168,-1
151,4597,1,3,3,1974,Suburban,Fair,Yes,827794,-1
152,1354,3,4,2,1913,Suburban,Excellent,No,66473,-1
153,3974,5,1,3,1902,Urban,Fair,Yes,703059,-1
154,2207,4,3,2,2014,Downtown,Poor,Yes,175801,-1
155,3277,2,4,3,2013,Urban,Good,No,944030,-1
156,2233,5,4,1,1961,Rural,Excellent,No,660911,-1
157,4010,4,2,1,2005,Rural,Excellent,No,558252,-1
158,702,3,2,1,1963,Downtown,Poor,Yes,275097,-1
159,3755,5,2,1,2001,Suburban,Fair,Yes,348964,-1
160,4718,4,3,3,1944,Downtown,Excellent,No,265933,-1
161,4996,1,1,1,2005,Downtown,Fair,No,369733,-1
162,1266,1,1,2,1981,Rural,Poor,Yes,771167,-1
163,4889,2,2,1,1957,Rural,Good,Yes,330558,-1
164,2827,4,2,1,1919,Suburban,Excellent,No,439522,-1
165,3431,1,2,1,1957,Suburban,Fair,Yes,74220,-1
166,697,3,4,3,2011,Downtown,Excellent,No,634819,-1
167,2430,4,2,1,1988,Urban,Fair,No,422146,-1
168,4082,3,4,2,1956,Downtown,Fair,Yes,557409,-1
169,1108,3,1,1,2001,Suburban,Fair,Yes,747785,-1
170,3772,1,3,1,1976,Urban,Poor,Yes,59387,-1
171,1647,4,3,1,1967,Rural,Good,No,295752,-1
172,4782,5,3,2,2018,Suburban,Excellent,No,651103,-1
173,3897,1,3,1,1977,Suburban,Good,No,601872,-1
174,3011,1,4,2,1996,Urban,Fair,No,619071,-1
175,2294,4,4,2,1991,Suburban,Fair,No,745169,-1
176,1159,4,2,1,1951,Suburban,Good,No,759687,-1
177,3311,3,4,2,1936,Suburban,Good,Yes,698782,-1
178,1869,4,2,3,1907,Suburban,Excellent,No,690102,-1
179,2486,3,2,1,1943,Suburban,Fair,No,300139,-1
180,646,1,3,1,1997,Suburban,Good,No,967184,-1
181,3719,2,4,2,2007,Suburban,Poor,No,550228,-1
182,3411,5,4,2,1904,Suburban,Fair,Yes,716217,-1
183,2234,1,2,1,2017,Rural,Fair,No,747621,-1
184,2343,4,2,3,1968,Suburban,Excellent,Yes,910020,-1
185,988,5,1,2,1930,Rural,Poor,Yes,984499,-1
186,3476,2,1,2,1944,Rural,Excellent,No,296509,-1
187,2459,2,2,3,1908,Downtown,Poor,No,63580,-1
188,2885,3,1,3,2005,Downtown,Excellent,Yes,592528,-1
189,3419,5,1,1,1931,Rural,Poor,Yes,828639,-1
190,2302,3,2,3,1932,Rural,Poor,No,395590,-1
191,4561,1,2,1,1966,Suburban,Poor,Yes,518968,-1
192,3869,5,4,3,1929,Downtown,Good,No,940965,-1
193,762,1,2,2,2013,Urban,Fair,No,828559,-1
194,1123,3,2,1,1975,Downtown,Poor,Yes,533663,-1
195,1516,5,3,1,1928,Rural,Good,No,478082,-1
196,4143,3,4,1,1902,Rural,Good,No,655262,-1
197,2549,5,4,3,1989,Suburban,Excellent,No,647689,-1
198,4223,3,4,2,1956,Suburban,Fair,Yes,263165,-1
199,3608,2,3,1,1929,Downtown,Fair,Yes,455427,-1
200,4590,3,2,1,1908,Suburban,Excellent,Yes,502201,-1
201,2556,2,4,1,1925,Urban,Fair,No,214340,-1
202,3670,3,4,1,1901,Urban,Excellent,Yes,840078,-1
203,2182,5,1,2,1961,Suburban,Good,Yes,760731,-1
204,2755,5,4,3,1902,Urban,Good,Yes,822411,-1
205,1654,5,2,2,1945,Urban,Poor,No,354960,-1
206,4999,4,2,1,1967,Downtown,Excellent,No,139460,-1
207,3691,1,1,2,1924,Urban,Good,Yes,356256,-1
208,2196,5,4,1,1950,Rural,Good,Yes,101048,-1
209,4491,2,4,3,1912,Rural,Excellent,Yes,780806,-1
210,2148,5,4,3,2002,Downtown,Good,No,182850,-1
211,1945,4,3,3,1943,Suburban,Fair,Yes,882184,-1
212,4699,2,4,1,1934,Downtown,Good,No,528193,-1
213,4423,4,2,2,1954,Suburban,Excellent,No,907158,-1
214,753,2,2,3,1986,Suburban,Fair,No,786200,-1
215,3683,3,3,1,1908,Suburban,Fair,Yes,994793,-1
216,3057,1,3,1,1901,Suburban,Good,Yes,356932,-1
217,598,1,4,2,1960,Suburban,Poor,No,316891,-1
218,2700,4,1,3,2017,Downtown,Fair,No,574333,-1
219,3461,1,3,1,1940,Suburban,Excellent,No,582046,-1
220,4933,4,3,2,1943,Urban,Poor,No,829685,-1
221,4277,4,4,3,1963,Urban,Poor,Yes,961508,-1
222,3369,4,4,2,1930,Suburban,Fair,Yes,728797,-1
223,3734,1,3,2,2007,Urban,Good,No,724945,-1
224,4291,4,1,1,1946,Rural,Poor,No,190926,-1
225,1456,1,3,1,1901,Downtown,Good,No,233148,-1
226,4567,4,4,1,1995,Downtown,Fair,Yes,893382,-1
227,660,5,4,2,1981,Suburban,Excellent,No,722709,-1
228,4993,4,3,1,1976,Suburban,Poor,Yes,801588,-1
229,1800,2,1,2,2009,Rural,Excellent,No,726708,-1
230,4487,4,3,2,1968,Suburban,Good,Yes,215368,-1
231,2027,3,3,1,1957,Urban,Good,Yes,544496,-1
232,1718,4,4,3,2005,Rural,Excellent,No,69455,-1
233,4996,2,1,3,1943,Urban,Fair,Yes,784184,-1
234,3604,2,2,3,1973,Downtown,Fair,Yes,515139,-1
235,3235,1,1,2,1955,Urban,Poor,Yes,281897,-1
236,1454,5,3,2,1942,Downtown,Poor,Yes,482509,-1
237,3946,4,3,2,1988,Urban,Fair,No,542646,-1
238,1545,1,3,1,1933,Downtown,Fair,No,662840,-1
239,2193,5,1,2,2000,Suburban,Excellent,No,882548,-1
240,3936,4,4,1,1929,Urban,Good,No,432605,-1
241,1062,3,3,1,1970,Downtown,Good,No,614772,-1
242,2985,4,3,3,1969,Urban,Poor,Yes,997719,-1
243,3854,2,1,3,2017,Rural,Fair,Yes,393782,-1
244,725,2,2,3,1954,Suburban,Excellent,Yes,708764,-1
245,1459,3,2,1,1966,Downtown,Poor,Yes,218332,-1
246,3567,1,4,1,1912,Rural,Excellent,No,150647,-1
247,1315,5,4,1,1902,Urban,Fair,No,639930,-1
248,3620,4,3,2,1925,Rural,Fair,Yes,786091,-1
249,516,2,1,1,1956,Urban,Fair,No,882441,-1
250,1743,1,3,3,1923,Suburban,Good,Yes,178824,-1
251,2705,3,4,3,1952,Rural,Fair,Yes,823202,-1
252,3024,2,1,1,1969,Suburban,Poor,No,866037,-1
253,1569,3,1,1,1942,Downtown,Good,No,685167,-1
254,3944,4,4,3,1959,Urban,Excellent,No,695115,-1
255,3065,5,2,1,1957,Urban,Poor,No,317724,-1
256,1560,2,2,3,1948,Suburban,Poor,No,951334,-1
257,2827,2,1,2,1941,Suburban,Excellent,No,317544,-1
258,3920,4,3,3,1975,Downtown,Good,No,745003,-1
259,801,1,2,2,2012,Rural,Poor,Yes,801545,-1
260,4776,5,3,1,1999,Urban,Poor,No,932464,-1
261,1106,2,2,1,1965,Urban,Poor,Yes,177319,-1
262,3670,5,2,2,1910,Downtown,Good,Yes,562193,-1
263,1199,2,3,1,2002,Downtown,Good,No,529389,-1
264,1639,5,4,2,1997,Suburban,Good,Yes,156960,-1
265,690,3,2,1,1989,Suburban,Poor,No,89015,-1
266,2800,2,2,3,1917,Rural,Fair,Yes,383857,-1
267,1480,5,3,1,1984,Downtown,Excellent,Yes,778165,-1
268,3475,1,4,3,1999,Rural,Fair,Yes,982478,-1
269,1684,3,2,3,2003,Downtown,Good,No,195109,-1
270,3827,3,2,2,1951,Urban,Poor,Yes,527508,-1
271,3894,1,4,1,1945,Downtown,Poor,Yes,836351,-1
272,627,5,2,2,1943,Downtown,Fair,Yes,983671,-1
273,2565,4,4,1,1921,Urban,Fair,No,138754,-1
274,2316,1,4,3,1952,Downtown,Excellent,Yes,271775,-1
275,1069,5,3,3,1958,Rural,Poor,No,355292,-1
276,2395,1,1,1,1993,Suburban,Fair,Yes,777513,-1
277,3233,1,4,1,2013,Suburban,Excellent,Yes,726894,-1
278,4363,2,3,2,2006,Rural,Good,Yes,796355,-1
279,4514,5,1,1,2023,Urban,Fair,No,959222,-1
280,3401,4,2,1,1929,Downtown,Good,Yes,922510,-1
281,2186,2,1,1,1907,Rural,Excellent,Yes,106879,-1
282,3509,1,4,2,1997,Suburban,Good,Yes,169894,-1
283,654,1,4,1,1956,Suburban,Poor,Yes,640127,-1
284,3037,1,4,3,2010,Rural,Poor,No,79756,-1
285,1909,5,4,2,1972,Suburban,Good,Yes,718043,-1
286,4557,5,4,2,2014,Rural,Poor,Yes,230557,-1
287,1284,2,3,3,1919,Suburban,Excellent,Yes,279303,-1
288,3675,4,4,3,2003,Rural,Poor,Yes,454241,-1
289,4841,2,3,3,1924,Downtown,Good,No,724075,-1
290,3306,3,2,1,1918,Downtown,Good,Yes,541599,-1
291,1037,1,4,3,1904,Downtown,Good,Yes,545283,-1
292,2341,1,4,1,1974,Downtown,Fair,No,667231,-1
293,2955,1,1,2,1978,Suburban,Good,Yes,792476,-1
294,1024,2,2,2,1971,Urban,Excellent,Yes,198188,-1
295,3450,2,4,3,1982,Rural,Poor,Yes,611032,-1
296,4631,1,4,1,1986,Urban,Poor,No,174697,-1
297,4615,2,2,3,1926,Suburban,Fair,Yes,530795,-1
298,2868,5,3,3,1939,Suburban,Fair,No,690360,-1
299,4347,5,4,1,1995,Urban,Excellent,No,445340,-1
300,4995,2,1,3,1925,Urban,Good,No,286028,-1
301,3201,1,4,2,1926,Suburban,Fair,No,743411,-1
302,1471,2,1,3,1961,Suburban,Poor,No,57176,-1
303,1666,2,1,1,1982,Rural,Fair,No,927742,-1
304,3274,2,4,1,1949,Downtown,Fair,No,826653,-1
305,2482,3,4,2,1941,Downtown,Good,Yes,508034,-1
306,1353,5,1,1,1928,Rural,Fair,Yes,563611,-1
307,4646,4,2,1,1938,Urban,Excellent,No,199748,-1
308,4236,4,2,2,1959,Suburban,Poor,No,95177,-1
309,4269,3,4,3,1940,Urban,Good,No,533512,-1
310,1074,2,3,2,1932,Downtown,Poor,No,160623,-1
311,3761,3,2,3,1982,Downtown,Excellent,No,575285,-1
312,1648,3,4,2,2000,Urban,Excellent,No,502546,-1
313,2215,1,2,3,1982,Downtown,Fair,Yes,546184,-1
314,4354,5,3,2,1996,Suburban,Fair,Yes,694467,-1
315,2991,4,4,3,2010,Rural,Fair,No,297439,-1
316,3160,2,3,2,1915,Urban,Poor,No,694691,-1
317,3624,4,4,3,1922,Suburban,Excellent,No,978735,-1
318,3551,4,3,2,1906,Suburban,Good,Yes,145287,-1
319,504,5,2,1,1925,Downtown,Fair,No,169574,-1
320,1376,4,2,3,1995,Suburban,Poor,Yes,830751,-1
321,1491,4,3,2,1911,Urban,Fair,Yes,171509,-1
322,4642,3,3,3,1971,Suburban,Excellent,Yes,397591,-1
323,4864,5,3,3,1904,Rural,Good,No,945954,-1
324,4965,1,4,2,2005,Suburban,Excellent,No,499181,-1
325,1135,2,2,3,1991,Suburban,Poor,Yes,393288,-1
326,2193,4,4,2,2016,Rural,Fair,Yes,822793,-1
327,2182,2,2,1,1968,Suburban,Excellent,Yes,242589,-1
328,619,1,1,3,1948,Suburban,Poor,Yes,929125,-1
329,1330,2,4,1,1925,Downtown,Fair,No,406459,-1
330,4175,1,2,3,1904,Urban,Good,Yes,538720,-1
331,1869,3,2,3,1921,Downtown,Excellent,No,863819,-1
332,1240,4,4,3,1978,Urban,Fair,Yes,54090,-1
333,616,1,4,2,1912,Rural,Fair,No,957278,-1
334,3338,2,2,1,1927,Rural,Fair,Yes,468161,-1
335,1650,4,4,3,1932,Rural,Fair,No,876671,-1
336,2431,3,3,2,2006,Urban,Excellent,No,53743,-1
337,1512,4,4,3,1922,Urban,Fair,No,80924,-1
338,2164,1,4,2,1996,Urban,Poor,Yes,191268,-1
339,1581,3,4,3,2006,Rural,Excellent,No,966592,-1
340,1012,2,2,1,1917,Urban,Fair,Yes,928247,-1
341,3349,3,3,1,2013,Suburban,Excellent,No,679600,-1
342,1059,3,1,3,2016,Downtown,Poor,No,381004,-1
343,4172,5,1,2,1929,Rural,Poor,Yes,790537,-1
344,3843,3,3,3,1925,Downtown,Excellent,No,798378,-1
345,4570,3,3,2,1915,Suburban,Fair,No,279602,-1
346,1970,4,3,3,1976,Urban,Fair,Yes,392543,-1
347,1080,2,2,2,1938,Downtown,Poor,No,885227,-1
348,2794,4,1,1,1932,Suburban,Fair,No,887985,-1
349,3647,4,3,3,1925,Suburban,Poor,No,558928,-1
350,4749,1,2,1,1947,Downtown,Fair,No,153976,-1
351,2179,4,1,1,1964,Rural,Poor,Yes,205183,-1
352,4006,5,4,3,2012,Downtown,Good,No,687854,-1
353,3244,5,2,3,1937,Rural,Fair,No,307443,-1
354,3856,1,1,2,1901,Urban,Fair,No,694256,-1
355,4545,2,2,2,2012,Rural,Fair,No,111600,-1
356,1743,2,1,1,1905,Urban,Excellent,No,624310,-1
357,3618,4,1,2,1945,Downtown,Fair,No,708559,-1
358,2641,4,4,2,1949,Urban,Excellent,No,887329,-1
359,3559,4,2,3,1937,Suburban,Excellent,No,874470,-1
360,3459,2,3,2,2005,Urban,Poor,Yes,173323,-1
361,2765,3,4,1,1987,Rural,Excellent,Yes,236110,-1
362,2979,5,4,2,1917,Rural,Excellent,Yes,694566,-1
363,2135,3,1,1,1926,Rural,Good,Yes,947486,-1
364,2257,3,3,3,1940,Urban,Fair,No,320041,-1
365,4952,2,2,1,1971,Rural,Excellent,No,638829,-1
366,2570,3,3,2,1991,Rural,Fair,Yes,156968,-1
367,3349,1,3,3,1973,Suburban,Excellent,Yes,589180,-1
368,3751,4,3,2,1916,Urban,Poor,Yes,975775,-1
369,4230,1,3,3,2018,Suburban,Good,No,74815,-1
370,2989,5,3,3,1961,Rural,Excellent,No,882044,-1
371,2131,4,1,2,1928,Rural,Fair,Yes,476573,-1
372,3316,3,1,2,1957,Rural,Poor,Yes,518304,-1
373,1515,5,4,3,1969,Urban,Fair,Yes,852699,-1
374,1848,4,1,3,1977,Downtown,Poor,Yes,854700,-1
375,3587,3,4,2,1921,Rural,Good,Yes,688751,-1
376,3339,1,4,1,2017,Rural,Poor,No,981767,-1
377,835,4,2,2,1905,Rural,Fair,Yes,514151,-1
378,1395,3,3,3,1925,Rural,Fair,No,931779,-1
379,4046,1,1,2,1938,Urban,Excellent,Yes,240732,-1
380,1351,5,2,1,1911,Downtown,Poor,Yes,246599,-1
381,2187,5,1,2,1998,Downtown,Fair,No,244451,-1
382,2431,5,4,3,1913,Downtown,Excellent,Yes,406686,-1
383,4246,5,1,2,1921,Rural,Good,No,746631,-1
384,2927,2,3,3,1950,Rural,Fair,No,378756,-1
385,2068,4,4,3,1922,Downtown,Excellent,Yes,188307,-1
386,4500,4,4,2,1947,Downtown,Fair,Yes,138757,-1
387,3238,2,2,3,1970,Rural,Poor,No,459633,-1
388,3998,3,3,3,2003,Rural,Excellent,No,934507,-1
389,4413,3,4,1,1949,Suburban,Poor,Yes,346753,-1
390,1566,5,3,1,1988,Suburban,Good,No,939217,-1
391,4880,1,1,1,1912,Suburban,Poor,Yes,304200,-1
392,2944,3,3,1,1984,Downtown,Excellent,No,597933,-1
393,4607,1,4,3,2004,Urban,Fair,Yes,506089,-1
394,3873,4,2,2,1909,Rural,Excellent,No,769918,-1
395,4469,1,4,3,2016,Suburban,Poor,No,374377,-1
396,3046,4,3,3,1954,Urban,Poor,Yes,423587,-1
397,1253,2,3,3,2022,Rural,Fair,No,204473,-1
398,2582,2,4,2,1908,Urban,Good,No,844203,-1
399,3274,5,3,1,1978,Downtown,Excellent,No,517667,-1
400,3396,3,1,3,1951,Downtown,Fair,No,522650,-1
401,4685,5,4,3,1901,Downtown,Fair,No,510665,-1
402,1275,4,2,1,1924,Suburban,Fair,No,414745,-1
403,2125,5,4,3,1912,Rural,Excellent,No,535820,-1
